"ID page","Concurrent","URL","Objet et variante","Cadence prévue","Observation précédente","Date précédente","Nouvelle observation","Date du contrôle","Statut","Vérification","Analyse ou hypothèse","Décision","Responsable","Prochain contrôle","Référence de preuve"
"P01","Camp Nord","https://camp-nord.example/produits/g60-vert","G60 inox 600 ml verte","J1 à J5 à 09:00","54 EUR TTC + 4 EUR livraison","J2 09:00 (fictif)","49 EUR TTC + 4 EUR livraison","J3 09:00 (fictif)","Changement confirmé","Page et contexte à relire; exemple fictif","Portée à examiner pour le scénario client","Documenter écart livré; aucun alignement automatique","Responsable e-commerce","J4 09:00","EXEMPLE FICTIF P01 J3 — aucune capture réelle"
"P02","Maison Sentier","https://maison-sentier.example/offres","Offre sur G60","J1 à J5 à 09:00","Aucune offre","J2 09:00 (fictif)","Remise 10 % G60 réservée aux membres","J3 09:00 (fictif)","Changement confirmé","Page et contexte à relire; exemple fictif","Portée à examiner pour le scénario client","Distinguer prix public et membres","Responsable e-commerce","J4 09:00","EXEMPLE FICTIF P02 J3 — aucune capture réelle"
"P04","Maison Sentier","https://maison-sentier.example/produits/g60-vert","G60 inox 600 ml verte","J1 à J5 à 09:00","Prix public 52 EUR TTC","J2 09:00 (fictif)","Prix public 52 EUR TTC","J3 09:00 (fictif)","Sans changement observé","Page et contexte à relire; exemple fictif","","Conserver la trace","Responsable e-commerce","J4 09:00","EXEMPLE FICTIF P04 J3 — aucune capture réelle"
"P06","Bivouac Clair","https://bivouac-clair.example/produits/g60-vert","G60 inox 600 ml verte","J1 à J5 à 09:00","Fiche accessible; 55 EUR TTC","J2 09:00 (fictif)","Fiche accessible; 55 EUR TTC","J3 09:00 (fictif)","Sans changement observé","Page et contexte à relire; exemple fictif","","Conserver la trace","Chargé du relevé","J4 09:00","EXEMPLE FICTIF P06 J3 — aucune capture réelle"
"P01","Camp Nord","https://camp-nord.example/produits/g60-vert","G60 inox 600 ml verte","J1 à J5 à 09:00","49 EUR TTC + 4 EUR livraison","J3 09:00 (fictif)","49 EUR TTC + 4 EUR livraison","J4 09:00 (fictif)","Sans changement observé","Page et contexte à relire; exemple fictif","","Conserver la trace","Responsable e-commerce","J5 09:00","EXEMPLE FICTIF P01 J4 — aucune capture réelle"
"P02","Maison Sentier","https://maison-sentier.example/offres","Offre sur G60","J1 à J5 à 09:00","Remise 10 % G60 réservée aux membres","J3 09:00 (fictif)","Remise 10 % G60 réservée aux membres","J4 09:00 (fictif)","Sans changement observé","Page et contexte à relire; exemple fictif","","Conserver la trace","Responsable e-commerce","J5 09:00","EXEMPLE FICTIF P02 J4 — aucune capture réelle"
"P03","Camp Nord","https://camp-nord.example/livraison","Livraison standard France métropolitaine","J1 et J4 à 09:00","Livraison offerte dès 60 EUR; sinon 4 EUR","J1 09:00 (fictif)","Livraison offerte dès 75 EUR; sinon 4 EUR","J4 09:00 (fictif)","Changement confirmé","Page et contexte à relire; exemple fictif","Portée à examiner pour le scénario client","Comparer séparément un panier à 72 EUR","Responsable e-commerce","Semaine suivante","EXEMPLE FICTIF P03 J4 — aucune capture réelle"
"P04","Maison Sentier","https://maison-sentier.example/produits/g60-vert","G60 inox 600 ml verte","J1 à J5 à 09:00","Prix public 52 EUR TTC","J3 09:00 (fictif)","Prix public 52 EUR TTC","J4 09:00 (fictif)","Sans changement observé","Page et contexte à relire; exemple fictif","","Conserver la trace","Responsable e-commerce","J5 09:00","EXEMPLE FICTIF P04 J4 — aucune capture réelle"
"P05","Bivouac Clair","https://bivouac-clair.example/gourdes","Première page catégorie gourdes","J1 et J4 à 09:00","G60 visible en première page","J1 09:00 (fictif)","G60 absente de la première page","J4 09:00 (fictif)","À confirmer","Page et contexte à relire; exemple fictif","Disparition visible; rupture non démontrée","Vérifier tri, pagination et fiche","Chargé du relevé","Semaine suivante","EXEMPLE FICTIF P05 J4 — aucune capture réelle"
"P06","Bivouac Clair","https://bivouac-clair.example/produits/g60-vert","G60 inox 600 ml verte","J1 à J5 à 09:00","Fiche accessible; 55 EUR TTC","J3 09:00 (fictif)","Fiche accessible; 55 EUR TTC","J4 09:00 (fictif)","Sans changement observé","Page et contexte à relire; exemple fictif","","Conserver la trace","Chargé du relevé","J5 09:00","EXEMPLE FICTIF P06 J4 — aucune capture réelle"
"P01","Camp Nord","https://camp-nord.example/produits/g60-vert","G60 inox 600 ml verte","J1 à J5 à 09:00","49 EUR TTC + 4 EUR livraison","J4 09:00 (fictif)","49 EUR TTC + 4 EUR livraison","J5 09:00 (fictif)","Sans changement observé","Page et contexte à relire; exemple fictif","","Conserver la trace","Responsable e-commerce","Prochain jour ouvré","EXEMPLE FICTIF P01 J5 — aucune capture réelle"
"P02","Maison Sentier","https://maison-sentier.example/offres","Offre sur G60","J1 à J5 à 09:00","Remise 10 % G60 réservée aux membres","J4 09:00 (fictif)","Remise 10 % G60 réservée aux membres","J5 09:00 (fictif)","Sans changement observé","Page et contexte à relire; exemple fictif","","Conserver la trace","Responsable e-commerce","Prochain jour ouvré","EXEMPLE FICTIF P02 J5 — aucune capture réelle"
"P04","Maison Sentier","https://maison-sentier.example/produits/g60-vert","G60 inox 600 ml verte","J1 à J5 à 09:00","Prix public 52 EUR TTC","J4 09:00 (fictif)","Prix public 52 EUR TTC","J5 09:00 (fictif)","Sans changement observé","Page et contexte à relire; exemple fictif","","Conserver la trace","Responsable e-commerce","Prochain jour ouvré","EXEMPLE FICTIF P04 J5 — aucune capture réelle"
"P06","Bivouac Clair","https://bivouac-clair.example/produits/g60-vert","G60 inox 600 ml verte","J1 à J5 à 09:00","Fiche accessible; 55 EUR TTC","J4 09:00 (fictif)","Lecture impossible","J5 09:00 (fictif)","Échec de lecture","Aucune nouvelle valeur exploitable","","Recontrôler la source","Chargé du relevé","Prochain jour ouvré","EXEMPLE FICTIF P06 J5 — aucune capture réelle"
